,sign,beg,end,folder_name,talker_id,hand
0,PODER,5480,5975,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
1,E(vai),5980,6910,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
2,E(então),9840,10260,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
3,DV(pessoa-vindo),10275,10875,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
4,SINAL(charlie Chaplin,10875,12165,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
5,E(criança),12165,12495,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
6,DV(andar-encontra),12495,13520,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
7,SINAL(charlie chaplin),13520,13880,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
8,VOCÊ,13880,14440,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
9,IX(vai-lá),14440,14755,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
10,IX(virar-direita),14755,15245,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
11,IX(lá),15245,15830,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
12,IX(virar),15830,16251,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
13,IX(caminho),16251,16845,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
14,E(possitivo),16845,17235,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
15,OK,17235,17595,/run/media/lucas/04B40D7AB40D700A/Users/lucas/Documents/Projects/LibrasDB/db/Alagoas/Inventário de Libras Maceió/Inventário Nacional de Libras - Surdos de Referência v1004/v0.mp4,1,D
